0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:53:48 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:53:48 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:53:48 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:53:48 +0530] "GET /CollaborationBack/forums/ HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:53:48 +0530] "GET /CollaborationBack/blogs/ HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:53:48 +0530] "GET /CollaborationBack/jobs/ HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:53:48 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:53:49 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:53:49 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:53:49 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:53:49 +0530] "GET /CollaborationBack/forums/ HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:53:49 +0530] "GET /CollaborationBack/jobs/ HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:53:49 +0530] "GET /CollaborationBack/blogs/ HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:53:49 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:53:52 +0530] "GET /CollaborationFrontEnd/c_blog/blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:53:53 +0530] "GET /CollaborationBack/blogs/ HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:53:56 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:53:56 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:53:56 +0530] "GET /CollaborationBack/blogs/ HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:53:56 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:54:02 +0530] "GET /CollaborationFrontEnd/c_blog/createBlog.html HTTP/1.1" 200 1784
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:54:02 +0530] "GET /CollaborationBack/blogs/ HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:54:06 +0530] "GET /CollaborationBack/blogs/ HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:54:08 +0530] "GET /CollaborationFrontEnd/c_blog/viewBlog.html HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:54:08 +0530] "GET /CollaborationBack/blogs/ HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:54:13 +0530] "GET /CollaborationBack/blogs/ HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:54:16 +0530] "GET /CollaborationBack/blogs/ HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:54:30 +0530] "GET /CollaborationBack/blogs/ HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:54:32 +0530] "GET /CollaborationBack/blogs/ HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:54:38 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:54:38 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
